Epoch;Loss;Validation Loss
1;0.996798574924469;0.9985027313232422
2;0.9924570322036743;0.9982414245605469
3;0.9851477742195129;0.9542683362960815
4;0.9626451134681702;0.9591261744499207
5;0.8790300488471985;0.9997187256813049
6;0.608944296836853;0.5701191425323486
7;0.3019005060195923;0.991376519203186
8;0.1881532371044159;0.409347802400589
9;0.1416441947221756;0.46991029381752014
10;0.10708378255367279;0.09171660989522934
11;0.09129094332456589;0.18630173802375793
12;0.07700081169605255;0.17308156192302704
13;0.0676145926117897;0.20368488132953644
14;0.06113803759217262;0.2806677520275116
15;0.05658121779561043;0.14329756796360016
16;0.056967657059431076;0.3590642213821411
17;0.054391276091337204;0.23632243275642395
18;0.04797850176692009;0.07466433197259903
19;0.04537976533174515;0.05953573063015938
20;0.04355989396572113;0.050755575299263
21;0.04448779299855232;0.06332945078611374
22;0.04243522137403488;0.04586496576666832
23;0.04078641161322594;0.0413270927965641
24;0.04192061349749565;0.05900632217526436
25;0.03670899569988251;0.03059280291199684
26;0.03679025545716286;0.029108751565217972
27;0.03637586906552315;0.03015279211103916
28;0.03575969859957695;0.028424197807908058
29;0.041800033301115036;0.03521624580025673
30;0.04343098774552345;0.03953717648983002
31;0.03575144335627556;0.028280524536967278
32;0.03425486385822296;0.03281698375940323
33;0.03340502828359604;0.03607887029647827
34;0.04366029426455498;0.14414960145950317
35;0.06083117797970772;0.22554485499858856
36;0.056709982454776764;0.11547599732875824
37;0.044156864285469055;0.08793547749519348
38;0.04800671339035034;0.08700569719076157
39;0.03635468706488609;0.035246867686510086
40;0.03522181510925293;0.047626394778490067
41;0.03621169552206993;0.04900556430220604
42;0.033860258758068085;0.026997685432434082
43;0.03246690332889557;0.03676849603652954
44;0.03162044286727905;0.10666903108358383
45;0.036284543573856354;0.09271496534347534
46;0.03439919278025627;0.0386066660284996
47;0.03606673702597618;0.02692166157066822
48;0.0319925919175148;0.03469894826412201
49;0.03606304153800011;0.0298208799213171
50;0.031032051891088486;0.03918919712305069
51;0.03028406761586666;0.030206849798560143
52;0.031529173254966736;0.022381095215678215
53;0.029049022123217583;0.03321493789553642
54;0.030132154002785683;0.02540207840502262
55;0.028803713619709015;0.023122254759073257
56;0.029528751969337463;0.0659361332654953
57;0.028885969892144203;0.036494653671979904
58;0.029120057821273804;0.024053551256656647
59;0.029987573623657227;0.020840775221586227
60;0.02748819626867771;0.030658414587378502
61;0.027156755328178406;0.13248993456363678
62;0.029279833659529686;0.029599592089653015
63;0.02632065676152706;0.02470702864229679
64;0.026319412514567375;0.025043053552508354
65;0.02709152363240719;0.04194335639476776
66;0.028692806139588356;0.03260631486773491
67;0.029967157170176506;0.022959569469094276
68;0.02621874213218689;0.028786202892661095
69;0.039082884788513184;0.33136266469955444
70;0.04585527628660202;0.2186511754989624
71;0.0365140475332737;0.0446137860417366
72;0.029081275686621666;0.046031493693590164
73;0.02876882068812847;0.0241262037307024
74;0.027937738224864006;0.0236347708851099
75;0.029810914769768715;0.023674672469496727
76;0.02542954869568348;0.027629420161247253
77;0.028683064505457878;0.024617470800876617
78;0.027232836931943893;0.020548328757286072
79;0.024545660242438316;0.02119828760623932
80;0.026882439851760864;0.12406791746616364
81;0.026774108409881592;0.03158434107899666
82;0.02532852813601494;0.02632758766412735
83;0.02674669772386551;0.03402797132730484
84;0.02474399469792843;0.034712206572294235
85;0.024069296196103096;0.01839783601462841
86;0.02351757138967514;0.03542723506689072
87;0.024055862799286842;0.02113504149019718
88;0.026190580800175667;0.024649033322930336
89;0.02544541470706463;0.06292311102151871
90;0.025374487042427063;0.02958998829126358
91;0.025350650772452354;0.018587986007332802
92;0.02541237697005272;0.0677543580532074
93;0.025180311873555183;0.021214226260781288
94;0.024474972859025;0.0555458627641201
95;0.024939266964793205;0.03713474050164223
96;0.025818301364779472;0.02328767627477646
97;0.02264634147286415;0.020681992173194885
98;0.022822292521595955;0.030609652400016785
99;0.025556320324540138;0.024896910414099693
100;0.025153597816824913;0.020286142826080322
101;0.024863513186573982;0.04573684558272362
102;0.023960281163454056;0.02127401903271675
103;0.026559220626950264;0.019206086173653603
104;0.02560277283191681;0.02047506906092167
105;0.028775157406926155;0.061293840408325195
106;0.04286092892289162;0.09889936447143555
107;0.036780428141355515;0.08443112671375275
108;0.03207479417324066;0.07256243377923965
109;0.029808152467012405;0.029031876474618912
110;0.025771107524633408;0.026057442650198936
111;0.024979375302791595;0.04589611291885376
112;0.025498181581497192;0.0220348984003067
113;0.022975854575634003;0.02666538581252098
114;0.023205487057566643;0.018708333373069763
115;0.02299249731004238;0.038167815655469894
116;0.022556187584996223;0.024526255205273628
117;0.024855446070432663;0.028797689825296402
118;0.023019080981612206;0.01968241296708584
119;0.022620659321546555;0.01831645891070366
120;0.02285027503967285;0.02780279330909252
121;0.023079268634319305;0.03630639612674713
122;0.02458004653453827;0.02016560547053814
123;0.022597501054406166;0.02340889535844326
124;0.024457382038235664;0.021788012236356735
125;0.022822923958301544;0.01844063773751259
126;0.02211170271039009;0.023390401154756546
127;0.023933786898851395;0.028412114828824997
128;0.028433404862880707;0.027862897142767906
129;0.023872433230280876;0.03805043175816536
130;0.03647224232554436;0.11232902854681015
131;0.03033185563981533;0.03080684505403042
132;0.028013136237859726;0.050251688808202744
133;0.025816751644015312;0.025174567475914955
134;0.02364201471209526;0.01934712566435337
135;0.022024618461728096;0.021732812747359276
136;0.02242562174797058;0.021995361894369125
137;0.021693162620067596;0.020566333085298538
138;0.021880067884922028;0.021005596965551376
139;0.023668251931667328;0.020479395985603333
