Index;Accuracy;Jaccard;DICE;Precision;Recall
0;0.9999847412109375;0.9710144927536232;0.98529404;0.9781021897810219;0.9925925925925926
1;0.9999923706054688;0.9487179487179487;0.97368413;0.9736842105263158;0.9736842105263158
2;0.9999923706054688;0.75;0.8571428;1.0;0.75
3;0.9999885559082031;0.7857142857142857;0.87999994;1.0;0.7857142857142857
4;0.9999961853027344;0.875;0.9333333;1.0;0.875
5;0.9999656677246094;0.9605263157894737;0.9798657;0.9776785714285714;0.9820627802690582
6;0.999969482421875;0.9772079772079773;0.9884726;0.9772079772079773;1.0
7;0.9999198913574219;0.9329073482428115;0.9652892;0.9864864864864865;0.9449838187702265
8;0.9999008178710938;0.9064748201438849;0.95094335;0.9882352941176471;0.9163636363636364
9;0.9999580383300781;0.9566929133858267;0.9778672;0.9918367346938776;0.9642857142857143
10;0.9999656677246094;0.960352422907489;0.97977525;1.0;0.960352422907489
11;0.9998779296875;0.9113573407202216;0.9536231;0.996969696969697;0.9138888888888889
12;0.9998893737792969;0.9331797235023042;0.965435;0.995085995085995;0.9375
13;0.9998931884765625;0.9385964912280702;0.96832573;0.9884526558891455;0.9490022172949002
14;0.9999351501464844;0.9565217391304348;0.9777778;0.9868073878627969;0.9689119170984456
15;0.99993896484375;0.9604938271604938;0.9798488;0.9798488664987406;0.9798488664987406
16;0.9999427795410156;0.9570200573065902;0.97803795;0.9940476190476191;0.962536023054755
17;0.99993896484375;0.9444444444444444;0.9714285;0.9855072463768116;0.9577464788732394
18;0.9999771118164062;0.9541984732824428;0.97656244;0.984251968503937;0.9689922480620154
19;0.9999961853027344;0.9375;0.96774185;1.0;0.9375
20;0.9999923706054688;0.9830508474576272;0.99145293;0.9914529914529915;0.9914529914529915
21;0.9999465942382812;0.9615384615384616;0.9803921;0.9749303621169917;0.9859154929577465
22;0.9999504089355469;0.9740518962075848;0.9868553;0.9878542510121457;0.9858585858585859
23;0.9999427795410156;0.9713740458015268;0.9854791;0.9788461538461538;0.9922027290448343
24;0.9999656677246094;0.9817813765182186;0.9908069;0.9817813765182186;1.0
25;0.999969482421875;0.9818181818181818;0.99082565;0.9818181818181818;1.0
26;0.999969482421875;0.9736842105263158;0.9866666;0.9833887043189369;0.9899665551839465
27;0.9999618530273438;0.9612403100775194;0.98023707;0.9763779527559056;0.9841269841269841
28;0.9999580383300781;0.9485981308411215;0.9736211;0.9806763285024155;0.9666666666666667
29;0.9999732971191406;0.9481481481481482;0.973384;0.9770992366412213;0.9696969696969697
30;0.9999961853027344;0.9953271028037384;0.997658;0.9953271028037384;1.0
31;0.9999732971191406;0.9530201342281879;0.97594494;0.9726027397260274;0.9793103448275862
32;0.9999923706054688;0.9885057471264368;0.9942196;0.9942196531791907;0.9942196531791907
33;0.9999847412109375;0.9710144927536232;0.98529404;0.9852941176470589;0.9852941176470589
34;0.9999961853027344;0.9897959183673469;0.99487174;1.0;0.9897959183673469
35;0.9999847412109375;0.9550561797752809;0.97701144;0.9770114942528736;0.9770114942528736
36;0.9999656677246094;0.9556650246305419;0.9773299;0.9651741293532339;0.9897959183673469
37;0.9999542236328125;0.959731543624161;0.979452;0.9794520547945206;0.9794520547945206
38;0.9999656677246094;0.9451219512195121;0.97178674;0.9627329192546584;0.9810126582278481
39;0.9999847412109375;0.9587628865979382;0.9789473;0.96875;0.9893617021276596
40;0.9999847412109375;0.9402985074626866;0.9692307;0.984375;0.9545454545454546
41;0.9999618530273438;0.9159663865546218;0.9561402;0.9646017699115044;0.9478260869565217
42;1.0;1.0;1.0;1.0;1.0
43;1.0;1.0;1.0;1.0;1.0
44;1.0;1.0;1.0;1.0;1.0
45;0.9999961853027344;0.975;0.9873417;0.975;1.0
46;0.9999847412109375;0.9452054794520548;0.97183084;0.9583333333333334;0.9857142857142858
47;0.9999923706054688;0.5;0.6666666;1.0;0.5
48;1.0;1.0;1.0;1.0;1.0
49;1.0;1.0;1.0;1.0;1.0
50;1.0;1.0;1.0;1.0;1.0
51;1.0;1.0;1.0;1.0;1.0
52;0.9999618530273438;0.8148148148148148;0.8979591;0.8148148148148148;1.0
53;0.9999961853027344;0.992;0.99598384;0.992;1.0
54;0.9999961853027344;0.9629629629629629;0.98113203;1.0;0.9629629629629629
55;0.9999885559082031;0.988929889298893;0.99443406;0.9925925925925926;0.9962825278810409
56;0.9999580383300781;0.8932038834951457;0.9435897;0.8932038834951457;1.0
57;0.9999732971191406;0.8627450980392157;0.9263158;0.8627450980392157;1.0
58;0.9999923706054688;0.8461538461538461;0.9166666;0.8461538461538461;1.0
59;0.9999961853027344;0.96;0.9795917;1.0;0.96
60;0.9999885559082031;0.8888888888888888;0.9411765;0.8888888888888888;1.0
61;0.9999885559082031;0.8636363636363636;0.9268292;0.8636363636363636;1.0
62;1.0;1.0;1.0;1.0;1.0
63;0.9999923706054688;0.8571428571428571;0.92307687;0.8571428571428571;1.0
64;1.0;1.0;1.0;1.0;1.0
65;0.999969482421875;0.9686274509803922;0.9840637;0.9959677419354839;0.9724409448818898
66;0.9999504089355469;0.978405315614618;0.9890847;0.9966159052453468;0.9816666666666667
67;0.9999427795410156;0.9763406940063092;0.98802865;0.9983870967741936;0.9778830963665087
68;0.9999504089355469;0.9803030303030303;0.9900535;0.9938556067588326;0.9862804878048781
69;0.9999504089355469;0.9806547619047619;0.9902328;0.9969742813918305;0.9835820895522388
70;0.999969482421875;0.9892904953145917;0.9946163;1.0;0.9892904953145917
71;0.999969482421875;0.989247311827957;0.9945946;0.9959404600811907;0.9932523616734144
72;0.9999732971191406;0.9902912621359223;0.9951219;1.0;0.9902912621359223
