Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.09008548373267763;0.03307837279017848;0.0007279318793873739;0.0007012660437692077;0.0014538241;0.0013989336;0.0007279326473145892;0.0007012657696932205;0.994678990333942;0.034969119450690776
2;0.5115403674897694;0.07725225630500368;0.0012954267415216062;0.0013317576438536918;0.002583975;0.0026512877;0.0012954515858813705;0.0013317950624331858;0.9870262534887916;0.04047432988740743
3;0.33966550372895743;0.03653534020722868;0.0009370625810178508;0.0010994912767028592;0.0018699641;0.0021904798;0.0009370864173994618;0.0010995168436302033;0.983457280719491;0.05732356555232889
4;0.5342108218255871;0.06662318911899992;0.0001176754073875077;0.00023822331765864567;0.00023520956;0.0004759973;0.00011792430906904956;0.0002388965018040565;0.09801100855873628;0.17126433626964835
5;0.28561474463183006;0.04476320763726057;0.0007287243249982717;0.0007562510023449352;0.001455247;0.0015087066;0.0007289141231870984;0.0007565844700849009;0.9313028027466372;0.13678542674232905
Overall Mean;0.3522233842817643;0.16236503238477354;0.000761364186862522;0.0003827821998435696;0.0015196439;0.000763384;0.0007614618165703139;0.00038270436507616677;0.7988952671695196;0.351157563085632
