Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.9999601954505557;0.00019272116944516832;0.9460459569825581;0.098975305456198;0.96792364;0.08712672;0.9750672129014591;0.07876846914812366;0.9688308516728098;0.06411011290954072
2;0.9999760219029018;2.6175893938713078e-05;0.9434159936335105;0.09150730427848765;0.9679045;0.06386074;0.9701857590351914;0.045826639670161096;0.9708817977789688;0.08287752930490959
3;0.9999753861200242;3.0528388844147775e-05;0.9412043935937227;0.08429400139606721;0.9673184;0.055624;0.9819679351626692;0.03417547462255575;0.9580268566493663;0.08019089234221294
4;0.9999780483588487;2.345031420915305e-05;0.9358025043031366;0.07763368734200381;0.96496546;0.046786793;0.9811237370414785;0.03306219981787138;0.9536294034537118;0.07577858598131222
5;0.9999820686386017;1.9018653906136734e-05;0.9525986375937189;0.08389773224226932;0.9730734;0.06251125;0.970807674632162;0.072219279117509;0.9798060348486681;0.048177840191033515
Overall Mean;0.9999743440941865;7.449498501694777e-06;0.9438134972213295;0.005537219633089292;0.9682371;0.0026512821;0.975830463754592;0.004967110853948472;0.966234988880705;0.009367804907462047
