Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.9999626931690034;0.00019475400139755517;0.9516272834644669;0.08353114800041003;0.9720587;0.07555424;0.9747725720400107;0.08065138168330092;0.9748125399712518;0.03406571256656582
2;0.9999803134373256;1.9831929191251012e-05;0.948454544111788;0.08295525644894722;0.97112536;0.05743134;0.978134780292199;0.03840775174471957;0.9696219988292031;0.07790718129978501
3;0.9999795414152599;2.3638175297525427e-05;0.9449266277558604;0.08872039691551255;0.9689048;0.06171301;0.9725762631805336;0.05210754422882936;0.9692718992062146;0.08246309253977767
4;0.9999828224410554;1.690527008959004e-05;0.9504500471502421;0.06682642838454694;0.97323793;0.039746124;0.9763567780479722;0.045167966119723055;0.973193930737798;0.05401881225603169
5;0.9999857919658729;1.605826026692846e-05;0.9597141220267846;0.10213916639624325;0.9746958;0.092553526;0.9724773899385257;0.1005736529920517;0.9807142033728026;0.07991598453008948
Overall Mean;0.9999782324857034;8.071275615491656e-06;0.9510345249018283;0.004898797640848829;0.97200453;0.0019569597;0.9748635566998483;0.0021846919897463967;0.9735229144234541;0.00416591583982813
