Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.999930222829183;0.00021209108864347418;0.9035675117816888;0.12648331509772717;0.9427165;0.10213225;0.9532103924389196;0.09433871037188678;0.945467624107434;0.10095522798860598
2;0.999957833971296;4.3207032938254556e-05;0.9063730357660396;0.1100087269608275;0.9464551;0.07774525;0.9609281095465935;0.08745324194132202;0.940103775157282;0.08312449391767812
3;0.9999589465913319;4.887897196820115e-05;0.898112486869029;0.1319833738640131;0.93959916;0.09793398;0.9415137860078102;0.11669473549462868;0.950770088104681;0.07809572107443247
4;0.9999600713124532;5.267433619463217e-05;0.8923359488070167;0.14999875610596924;0.9333681;0.12549925;0.9525793710358071;0.12331442015150969;0.9292698227153039;0.12784581740251408
5;0.9999596373049798;9.15511442770826e-05;0.9094310478416024;0.13342525337096653;0.9451532;0.108880974;0.9528614958063225;0.12472388507198164;0.9486650496796155;0.1015850798753054
Overall Mean;0.9999533424018487;1.1584470807621111e-05;0.9019640062130753;0.006087711771455124;0.9414584;0.0046714307;0.9522186309670906;0.0061963815593417525;0.9428552719528633;0.007685797048234203
