Epoch;Loss;Validation Loss
1;0.9983299970626831;0.9977806806564331
2;0.9967135787010193;0.9960392713546753
3;0.9335939288139343;0.9742840528488159
4;0.6826586127281189;0.831882119178772
5;0.4925709366798401;0.586216390132904
6;0.40169259905815125;0.630309522151947
7;0.3309788405895233;0.45330601930618286
8;0.28006067872047424;0.35888615250587463
9;0.27882009744644165;0.38758939504623413
10;0.2126387655735016;0.3498530089855194
11;0.18439239263534546;0.24076466262340546
12;0.1501643806695938;0.21079817414283752
13;0.13334907591342926;0.19341178238391876
14;0.12241509556770325;0.2797214984893799
15;0.10656718909740448;0.20471073687076569
16;0.10454405844211578;0.16374601423740387
17;0.09303782880306244;0.16249416768550873
18;0.08386710286140442;0.172767773270607
19;0.0828302726149559;0.14348527789115906
20;0.07362206280231476;0.1409107744693756
21;0.06998098641633987;0.13642051815986633
22;0.06847108155488968;0.1388714611530304
23;0.06220551207661629;0.13280373811721802
24;0.06196970120072365;0.1273539811372757
25;0.05789950489997864;0.1474086493253708
26;0.06147504225373268;0.12307027727365494
27;0.05371949076652527;0.1201566830277443
28;0.05446514114737511;0.1312641203403473
29;0.05343589186668396;0.11878470331430435
30;0.04967396706342697;0.12842850387096405
31;0.04852448031306267;0.11780130118131638
32;0.04613308981060982;0.1136404350399971
33;0.049165863543748856;0.11596027761697769
34;0.047410521656274796;0.11305364221334457
35;0.04487299174070358;0.10700313001871109
36;0.0414360947906971;0.105872742831707
37;0.04003794491291046;0.10554353147745132
38;0.03952644765377045;0.10474009811878204
39;0.03948358818888664;0.1037173718214035
40;0.038864728063344955;0.10834284126758575
41;0.03723830729722977;0.10476456582546234
42;0.037256870418787;0.11110049486160278
43;0.03581411391496658;0.09933070093393326
44;0.03519827127456665;0.09988778829574585
45;0.03323470056056976;0.09702157974243164
46;0.03532850742340088;0.11511900275945663
47;0.03276745602488518;0.0956675112247467
48;0.03214621543884277;0.1024356335401535
49;0.03311645984649658;0.12222550064325333
50;0.032552093267440796;0.10224999487400055
51;0.03035048209130764;0.09160005301237106
52;0.03022385761141777;0.09297938644886017
53;0.030879439786076546;0.10579011589288712
54;0.03083328902721405;0.09364549070596695
55;0.029533063992857933;0.09110119193792343
56;0.032318759709596634;0.09810801595449448
57;0.029431086033582687;0.09491246938705444
58;0.028647297993302345;0.09060777723789215
59;0.028063831850886345;0.09460453689098358
60;0.026666270568966866;0.08883871138095856
61;0.025959305465221405;0.0900283232331276
62;0.02769348956644535;0.11898209154605865
63;0.02693231776356697;0.08822747319936752
64;0.025472484529018402;0.0840625911951065
65;0.024503938853740692;0.10064766556024551
66;0.024126289412379265;0.08690731227397919
67;0.025540625676512718;0.0899132564663887
68;0.025480227544903755;0.08600413799285889
69;0.022975001484155655;0.08778594434261322
70;0.023423857986927032;0.09774253517389297
71;0.023334195837378502;0.10776424407958984
72;0.023565076291561127;0.09026185423135757
73;0.021912885829806328;0.0825037956237793
74;0.022240346297621727;0.10612267255783081
75;0.023639071732759476;0.08701878786087036
76;0.02151334658265114;0.09221256524324417
77;0.02147470787167549;0.0798632875084877
78;0.022287283092737198;0.08994148671627045
79;0.021928904578089714;0.0808953270316124
80;0.02183487080037594;0.09166578948497772
81;0.0211750790476799;0.07993165403604507
82;0.02152961492538452;0.08433569967746735
83;0.023342663422226906;0.08358272910118103
84;0.021192198619246483;0.08040755242109299
85;0.019880207255482674;0.07858990132808685
86;0.01961308717727661;0.07780876755714417
87;0.01908251829445362;0.07776211947202682
88;0.018427738919854164;0.07927641272544861
89;0.01880800910294056;0.08210735768079758
90;0.019623374566435814;0.0785708799958229
91;0.01964944787323475;0.07892903685569763
92;0.019371530041098595;0.07816126197576523
93;0.017447341233491898;0.077251136302948
94;0.01973857171833515;0.09376296401023865
95;0.01918593980371952;0.07957641035318375
96;0.017070405185222626;0.08196485042572021
97;0.017382707446813583;0.08510828763246536
98;0.017578909173607826;0.07832080125808716
99;0.019029611721634865;0.08078708499670029
100;0.021863684058189392;0.08619735389947891
101;0.02334914728999138;0.08712374418973923
102;0.019812243059277534;0.07655204832553864
103;0.01937270537018776;0.07775221019983292
104;0.01776910200715065;0.07661557197570801
105;0.01826833002269268;0.07694345712661743
106;0.016283398494124413;0.07502724975347519
107;0.016057686880230904;0.07844988256692886
108;0.015683472156524658;0.08031129837036133
109;0.016418859362602234;0.07493289560079575
110;0.015590610913932323;0.07720136642456055
111;0.015441029332578182;0.07957533001899719
112;0.016875237226486206;0.08877183496952057
113;0.016922030597925186;0.17941579222679138
114;0.033806223422288895;0.08641214668750763
115;0.01994844526052475;0.10826756060123444
116;0.01756746880710125;0.07757498323917389
117;0.016374988481402397;0.07877746224403381
118;0.015359845943748951;0.07220790535211563
119;0.014884666539728642;0.0736234188079834
120;0.017550112679600716;0.09055501222610474
121;0.014805459417402744;0.07855810225009918
122;0.013750273734331131;0.07608248293399811
123;0.015209946781396866;0.07514333724975586
124;0.015945877879858017;0.08359333127737045
125;0.015449265018105507;0.0810721293091774
126;0.014278817921876907;0.0752335712313652
127;0.014263104647397995;0.08419887721538544
128;0.014843187294900417;0.07283570617437363
129;0.014133047312498093;0.0758870542049408
130;0.014620503410696983;0.07578058540821075
131;0.01357617974281311;0.07372289150953293
132;0.012827382422983646;0.07974351197481155
133;0.012868601828813553;0.07212458550930023
134;0.013552935793995857;0.07768173515796661
135;0.013692410662770271;0.07721735537052155
136;0.01244265679270029;0.07737277448177338
137;0.012337375432252884;0.07284078001976013
138;0.013580053113400936;0.07481686770915985
139;0.012731396593153477;0.07497934997081757
