Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.9999377159845262;0.00020178549089179635;0.9065406637576533;0.12002287711094996;0.9447009;0.101764046;0.9592563146821812;0.10296761688232917;0.9409587157899402;0.08571494162488011
2;0.9999650773547945;4.217988633706398e-05;0.9230442333083311;0.10932633758589479;0.954921;0.0916793;0.9608311586665452;0.09038332772356547;0.9546253687259666;0.10409106123833063
3;0.9999590374174572;4.717462087128063e-05;0.9059524116255789;0.1300611008665807;0.94292974;0.116402276;0.9533518962574745;0.1164570330626228;0.9388352089891315;0.1297877488612417
4;0.9999709900267824;3.3501045494484505e-05;0.9263095771277067;0.08896056093067842;0.95867985;0.06823956;0.9654985660366812;0.08298562446785758;0.9599423677705999;0.05419081748622778
5;0.9999744164015718;2.710710752367916e-05;0.9397078195914281;0.07824594495978655;0.96668905;0.056278948;0.9651833472273682;0.07146944154527611;0.9735446809877502;0.04467983974317334
Overall Mean;0.9999614474370263;1.2972443067728467e-05;0.9203109410821396;0.012770914786758358;0.9535841;0.008853478;0.96082425657405;0.004452987724936581;0.9535812684526777;0.0127817579024535
