Fold;Accuracy Mean;Accuracy Std;Jaccard Mean;Jaccard Std;DICE Mean;DICE Std;Precision Mean;Precision Std;Recall Mean;Recall Std
1;0.999954723176502;0.00019560657633131934;0.9353724011659418;0.10383845477730799;0.9618823;0.089903094;0.963244047600142;0.08860131203587635;0.9692885331004769;0.06792723488201162
2;0.9999767030988421;2.3837445947275952e-05;0.9348761317188786;0.11486981580167652;0.9607791;0.096132874;0.97472289769654;0.08249166108675986;0.9531153849693503;0.11382041793639869
3;0.9999778384254092;2.4872100532656932e-05;0.9490324426122146;0.08739515085197799;0.9703792;0.07960191;0.9770511586597372;0.08371682360683595;0.965262588705319;0.08290011494288503
4;0.999981200623655;2.1933913824020067e-05;0.9468308325574487;0.07438936638633219;0.9709575;0.045521874;0.9698671465522735;0.06430983220339383;0.9760783065026039;0.04553858094891288
5;0.9999796244912519;2.2684636826838416e-05;0.9433494312015848;0.10571538731847704;0.9658861;0.0932667;0.9662286834592079;0.10252569298916514;0.9705913629501054;0.08595781210732534
Overall Mean;0.999974017963132;9.768504968907242e-06;0.9418922478512137;0.005817725841325734;0.96597683;0.004194712;0.97022278679358;0.0051314676777384684;0.9668672352455712;0.007697583006408213
