Index;Accuracy;Jaccard;DICE;Precision;Recall
0;0.9999923706054688;0.9166666666666666;0.9565217;1.0;0.9166666666666666
1;0.9999465942382812;0.9141104294478528;0.95512813;0.9738562091503268;0.9371069182389937
2;0.9999275207519531;0.919831223628692;0.9582417;0.990909090909091;0.9276595744680851
3;0.9999504089355469;0.9482071713147411;0.9734151;0.99581589958159;0.952
4;0.999847412109375;0.8809523809523809;0.9367088;0.9548387096774194;0.9192546583850931
5;0.9999313354492188;0.9478260869565217;0.9732142;0.9732142857142857;0.9732142857142857
6;0.9999427795410156;0.9380165289256198;0.968017;0.9912663755458515;0.9458333333333333
7;0.9999504089355469;0.956953642384106;0.9780033;0.996551724137931;0.9601328903654485
8;0.9999275207519531;0.9400630914826499;0.96910566;0.9867549668874173;0.952076677316294
9;0.9999122619628906;0.9340974212034384;0.9659258;0.9908814589665653;0.9421965317919075
10;0.9998931884765625;0.944;0.9711933;0.9957805907172996;0.9477911646586346
11;0.9998779296875;0.9492063492063492;0.9739414;0.9966666666666667;0.9522292993630573
12;0.9998817443847656;0.947008547008547;0.972783;0.9946140035906643;0.9518900343642611
13;0.9998855590820312;0.9411764705882353;0.9696969;0.9896907216494846;0.9504950495049505
14;0.9999008178710938;0.9424778761061947;0.97038716;0.9976580796252927;0.9445676274944568
15;0.9999198913574219;0.9467005076142132;0.97262055;0.9973262032085561;0.9491094147582697
16;0.99993896484375;0.912568306010929;0.9542856;0.9881656804733728;0.9226519337016574
17;0.9999847412109375;0.9310344827586207;0.9642856;1.0;0.9310344827586207
18;0.9999160766601562;0.9264214046822743;0.9618055;0.992831541218638;0.9326599326599326
19;0.9999351501464844;0.8851351351351351;0.939068;0.9849624060150376;0.8972602739726028
20;0.9999427795410156;0.9271844660194175;0.96221656;0.9947916666666666;0.9317073170731708
21;0.9999656677246094;0.9613733905579399;0.9803063;1.0;0.9613733905579399
22;0.9999542236328125;0.94;0.9690721;1.0;0.94
23;0.9999618530273438;0.9285714285714286;0.9629629;0.9420289855072463;0.9848484848484849
24;0.9999809265136719;0.9709302325581395;0.98525065;0.9940476190476191;0.9766081871345029
25;0.9999847412109375;0.975;0.9873417;1.0;0.975
26;0.9999618530273438;0.9502487562189055;0.97448975;1.0;0.9502487562189055
27;0.9999351501464844;0.9247787610619469;0.9609195;0.990521327014218;0.9330357142857143
28;0.9999427795410156;0.9193548387096774;0.95798314;1.0;0.9193548387096774
29;0.9999237060546875;0.8780487804878049;0.9350649;0.993103448275862;0.8834355828220859
30;0.9999656677246094;0.9210526315789473;0.958904;1.0;0.9210526315789473
31;0.9999771118164062;0.9568345323741008;0.9779411;0.9925373134328358;0.9637681159420289
32;0.9999847412109375;0.9738562091503268;0.9867549;1.0;0.9738562091503268
33;0.9999465942382812;0.9326923076923077;0.9651741;0.9948717948717949;0.9371980676328503
34;0.9999122619628906;0.9274447949526814;0.9623567;0.9966101694915255;0.930379746835443
35;0.9999809265136719;0.9264705882352942;0.96183205;1.0;0.9264705882352942
36;0.9999809265136719;0.9489795918367347;0.9738219;0.9893617021276596;0.9587628865979382
37;0.9999771118164062;0.9439252336448598;0.9711538;0.9901960784313726;0.9528301886792453
38;0.9999275207519531;0.8442622950819673;0.91555554;0.9809523809523809;0.8583333333333333
39;1.0;1.0;1.0;1.0;1.0
40;0.9999923706054688;0.92;0.95833325;1.0;0.92
41;0.9999885559082031;0.9655172413793104;0.9824561;0.9882352941176471;0.9767441860465116
42;0.9999313354492188;0.8144329896907216;0.8977272;0.8777777777777778;0.9186046511627907
43;0.9999923706054688;0.9775280898876404;0.9886363;0.9886363636363636;0.9886363636363636
44;1.0;1.0;1.0;1.0;1.0
45;0.9999847412109375;0.8;0.8888889;1.0;0.8
46;0.999969482421875;0.42857142857142855;0.59999996;0.42857142857142855;1.0
47;0.9999847412109375;0.9090909090909091;0.95238096;0.975609756097561;0.9302325581395349
48;1.0;1.0;1.0;1.0;1.0
49;0.9999885559082031;0.85;0.91891885;0.85;1.0
50;0.9999809265136719;0.9468085106382979;0.9726775;0.9468085106382979;1.0
51;0.9999847412109375;0.9803921568627451;0.9900989;0.9803921568627451;1.0
52;0.9999923706054688;0.9375;0.96774185;0.9375;1.0
53;0.9999923706054688;0.875;0.9333333;1.0;0.875
54;0.9999961853027344;0.9777777777777777;0.988764;0.9777777777777777;1.0
55;0.9999923706054688;0.9555555555555556;0.9772727;0.9555555555555556;1.0
56;0.9999961853027344;0.9230769230769231;0.96;0.9230769230769231;1.0
57;1.0;1.0;1.0;1.0;1.0
58;1.0;1.0;1.0;1.0;1.0
59;1.0;1.0;1.0;1.0;1.0
60;1.0;1.0;1.0;1.0;1.0
61;1.0;1.0;1.0;1.0;1.0
62;0.9999465942382812;0.9041095890410958;0.9496402;0.9777777777777777;0.9230769230769231
63;0.9974784851074219;0.019287833827893175;0.037845697;0.019461077844311378;0.6842105263157895
64;0.9999160766601562;0.968705547652916;0.984104;1.0;0.968705547652916
65;0.9999504089355469;0.9827586206896551;0.9913042;0.9986522911051213;0.9840637450199203
66;0.9999771118164062;0.926829268292683;0.9620252;0.987012987012987;0.9382716049382716
67;0.9999580383300781;0.9848275862068966;0.99235576;0.99581589958159;0.9889196675900277
68;0.9999504089355469;0.9774305555555556;0.9885864;0.9842657342657343;0.9929453262786596
69;0.9999656677246094;0.9752747252747253;0.98748255;0.9888579387186629;0.9861111111111112
70;0.9999771118164062;0.9819277108433735;0.9908814;0.9908814589665653;0.9908814589665653
71;0.999969482421875;0.9669421487603306;0.9831932;0.970954356846473;0.9957446808510638
72;0.9999885559082031;0.9732142857142857;0.9864253;0.9732142857142857;1.0
73;0.9999847412109375;0.9692307692307692;0.98437494;1.0;0.9692307692307692
74;0.9999732971191406;0.9556962025316456;0.9773462;0.967948717948718;0.9869281045751634
75;0.9999542236328125;0.9375;0.9677419;0.9424083769633508;0.994475138121547
76;0.9999809265136719;0.9662162162162162;0.9828178;0.9662162162162162;1.0
77;0.9999809265136719;0.9635036496350365;0.9814126;0.9850746268656716;0.9777777777777777
78;0.9999847412109375;0.963302752293578;0.98130834;0.9722222222222222;0.9905660377358491
79;0.9999847412109375;0.9574468085106383;0.9782608;0.9574468085106383;1.0
80;0.9999732971191406;0.9448818897637795;0.9716598;0.96;0.9836065573770492
81;0.9999961853027344;0.972972972972973;0.9863013;1.0;0.972972972972973
82;0.9999847412109375;0.9689922480620154;0.98425186;0.9920634920634921;0.9765625
83;0.9999732971191406;0.9380530973451328;0.9680365;0.9636363636363636;0.9724770642201835
84;0.9999847412109375;0.9661016949152542;0.9827586;0.9743589743589743;0.991304347826087
85;0.9999885559082031;0.9772727272727273;0.9885056;0.9847328244274809;0.9923076923076923
86;0.9999885559082031;0.9433962264150944;0.9708737;0.9433962264150944;1.0
87;0.9999847412109375;0.96;0.9795918;0.9795918367346939;0.9795918367346939
88;0.9999809265136719;0.9568965517241379;0.9779735;0.9568965517241379;1.0
89;0.9999618530273438;0.9595141700404858;0.9793387;0.9713114754098361;0.9875
90;0.9999847412109375;0.9859649122807017;0.9929328;0.9859649122807017;1.0
91;0.9999847412109375;0.9849056603773585;0.99239534;0.9849056603773585;1.0
92;0.9999580383300781;0.9513274336283186;0.97505665;0.9907834101382489;0.9598214285714286
93;0.9999809265136719;0.9494949494949495;0.9740932;0.9690721649484536;0.9791666666666666
94;0.9999809265136719;0.9375;0.96774185;0.9615384615384616;0.974025974025974
95;0.9999923706054688;0.972972972972973;0.9863013;0.9863013698630136;0.9863013698630136
96;0.9999809265136719;0.9456521739130435;0.97206694;0.9456521739130435;1.0
97;0.9999923706054688;0.9858156028368794;0.9928571;0.9858156028368794;1.0
98;0.9999923706054688;0.9666666666666667;0.98305076;0.9830508474576272;0.9830508474576272
99;0.9999809265136719;0.9473684210526315;0.97297287;0.989010989010989;0.9574468085106383
100;0.9999656677246094;0.9262295081967213;0.96170205;0.9495798319327731;0.9741379310344828
101;0.9999771118164062;0.94;0.9690721;0.9591836734693877;0.9791666666666666
102;0.999969482421875;0.8857142857142857;0.93939394;0.96875;0.9117647058823529
103;0.9999656677246094;0.9158878504672897;0.9560975;0.9333333333333333;0.98
104;0.9999656677246094;0.9612068965517241;0.9802197;0.9737991266375546;0.9867256637168141
105;0.9999656677246094;0.9856459330143541;0.99277097;0.9919743178170144;0.9935691318327974
106;0.999969482421875;0.987460815047022;0.9936907;0.995260663507109;0.9921259842519685
107;0.9999618530273438;0.9860529986052998;0.99297744;0.998587570621469;0.9874301675977654
108;0.9999961853027344;0.9981515711645101;0.99907494;0.9981515711645101;1.0
109;0.9999732971191406;0.9851694915254238;0.99252933;0.9914712153518124;0.9935897435897436
110;1.0;1.0;1.0;1.0;1.0
111;0.9999809265136719;0.8076923076923077;0.893617;0.8076923076923077;1.0
112;0.9998626708984375;0.7777777777777778;0.87499994;0.8235294117647058;0.9333333333333333
113;0.9999923706054688;0.98;0.9898989;0.98;1.0
114;0.9999885559082031;0.9785714285714285;0.98916954;0.9856115107913669;0.9927536231884058
115;0.9999885559082031;0.9793103448275862;0.98954695;0.9861111111111112;0.993006993006993
116;0.9999847412109375;0.9724137931034482;0.98601395;0.9791666666666666;0.9929577464788732
117;0.9999885559082031;0.9545454545454546;0.9767441;0.9692307692307692;0.984375
118;0.9999732971191406;0.9176470588235294;0.95705515;0.9285714285714286;0.9873417721518988
119;0.9999656677246094;0.9700996677740864;0.9848228;0.9765886287625418;0.9931972789115646
120;0.9999542236328125;0.9773156899810964;0.98852766;0.9942307692307693;0.9828897338403042
121;0.9999847412109375;0.978021978021978;0.9888888;0.994413407821229;0.9834254143646409
122;0.9999656677246094;0.9545454545454546;0.9767442;0.9742268041237113;0.9792746113989638
123;0.9999885559082031;0.985981308411215;0.99294114;1.0;0.985981308411215
124;0.9999809265136719;0.979253112033195;0.98951775;0.9957805907172996;0.9833333333333333
125;0.9999732971191406;0.974910394265233;0.98729575;0.9927007299270073;0.9819494584837545
126;0.9999656677246094;0.9712460063897763;0.9854132;0.9934640522875817;0.977491961414791
127;0.9999885559082031;0.9912023460410557;0.9955817;1.0;0.9912023460410557
128;0.9999732971191406;0.9838337182448037;0.9918509;0.993006993006993;0.9906976744186047
129;0.9999504089355469;0.9713656387665198;0.9854748;0.9932432432432432;0.9778270509977827
130;0.9999504089355469;0.9705215419501134;0.9850402;0.9930394431554525;0.9771689497716894
131;0.9999732971191406;0.9752650176678446;0.9874776;0.9963898916967509;0.9787234042553191
132;0.9999732971191406;0.9739776951672863;0.98681724;0.9961977186311787;0.9776119402985075
133;0.999969482421875;0.9701492537313433;0.98484844;1.0;0.9701492537313433
134;0.9999923706054688;0.9911504424778761;0.9955555;1.0;0.9911504424778761
135;0.9999847412109375;0.972972972972973;0.9863013;1.0;0.972972972972973
136;0.9999885559082031;0.9705882352941176;0.9850746;1.0;0.9705882352941176
137;0.9999961853027344;0.9852941176470589;0.9925925;0.9852941176470589;1.0
138;0.9999847412109375;0.948051948051948;0.97333324;1.0;0.948051948051948
139;0.9999923706054688;0.9710144927536232;0.98529404;1.0;0.9710144927536232
140;0.9999961853027344;0.8;0.8888889;0.8;1.0
141;1.0;1.0;1.0;1.0;1.0
142;1.0;1.0;1.0;1.0;1.0
143;1.0;1.0;1.0;1.0;1.0
144;0.9999961853027344;0.9787234042553191;0.98924726;1.0;0.9787234042553191
145;0.9999885559082031;0.9805194805194806;0.9901639;0.9869281045751634;0.993421052631579
146;0.999969482421875;0.9601990049751243;0.97969544;0.9948453608247423;0.965
147;0.9999542236328125;0.9325842696629213;0.96511626;0.9540229885057471;0.9764705882352941
148;0.9999618530273438;0.9236641221374046;0.9603174;0.983739837398374;0.937984496124031
149;0.9999961853027344;0.96875;0.9841269;1.0;0.96875
150;0.9999771118164062;0.8421052631578947;0.91428566;1.0;0.8421052631578947
151;0.9999885559082031;0.9594594594594594;0.9793103;1.0;0.9594594594594594
152;0.9999923706054688;0.9714285714285714;0.98550713;1.0;0.9714285714285714
153;0.9999923706054688;0.9523809523809523;0.9756097;1.0;0.9523809523809523
154;1.0;1.0;1.0;1.0;1.0
155;0.9999923706054688;0.8888888888888888;0.9411765;1.0;0.8888888888888888
156;0.9999923706054688;0.9047619047619048;0.9499999;1.0;0.9047619047619048
157;1.0;1.0;1.0;1.0;1.0
158;0.9999961853027344;0.9285714285714286;0.96296287;0.9285714285714286;1.0
159;1.0;1.0;1.0;1.0;1.0
160;0.9999809265136719;0.954954954954955;0.97695845;0.954954954954955;1.0
161;0.9999961853027344;0.95;0.97435886;0.95;1.0
162;0.9999923706054688;0.9726027397260274;0.98611104;0.9726027397260274;1.0
163;0.9999885559082031;0.9662921348314607;0.9828571;0.9662921348314607;1.0
164;0.9999771118164062;0.8867924528301887;0.94;0.8867924528301887;1.0
165;1.0;1.0;1.0;1.0;1.0
166;0.9999885559082031;0.8421052631578947;0.91428566;1.0;0.8421052631578947
167;0.9999771118164062;0.7272727272727273;0.8421052;1.0;0.7272727272727273
